Reviews,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,clean_reviews,clean_reviews2,sentiment
"Not Verified |   First class services are stopping. No water, no glass, coffee cups, no snack basket, 1 drink if there is time in the 1.5 hour flight. Just really going downhill. They will lose customers with this cheap tactic.",Business,First Class,Juneau to Anchorage,April 2024,no,first class services are stopping no water no glass coffee cups no snack basket 1 drink if there is time in the 15 hour flight just really going downhill they will lose customers with this cheap tactic,first class services stopping water glass coffee cups snack basket 1 drink time 15 hour flight really going downhill lose customers cheap tactic,NEG
"✅ Trip Verified |  I had a bad experience on my return trip from Ft Lauderdale to Portland. The weather at FLL was rainy, but not terrible. Planes were departing and arriving. After pulling back from the gate we sat motionless for 15 minutes or so. The pilot came on to tell us we had a shortage of fuel, and this was due to the weather and it's impact to availability of fuel. We sat for another 30-45 minutes. During this time the pilot said due to the fuel shortage we would stop in Kansas City on our way to Seattle. After about an hour on the ground in FLL he came on again to apologize for the paperwork being very slow, some corrections that needed to be made to the new flight plans. The delays caused us to be 4 hours late in arriving in Seattle. Here's the problem with Alaska - 1. They lied to us. They don't prioritize honesty with their customers. The fuel shortage scenario he tried to explain was weak at best. It was raining = not enough fuel? Alaska sent me an email apologizing for the stop in KC, but said it was unavoidable due to stronger than expected headwinds. What really happened? Lot of us lost time and $ due to this. The official determination was wind, so no reimbursements for hotels or added costs to rebook. 2. they had a service failure followed by inability to make a service recovery. They were not prepared to handle the onslaught of people who needed help. A desk was there, we were not told where, we had to find it. 4 agents were there; they needed 10 to quickly deal with the problems. Seattle is their headquarters! They had 6 hours to prepare! I use this airline sparingly and will continue to do so. I have 1.8MM miles on Delta. I'm with them because they don't let stuff like this happen. They are professional, honest with their customers, and I've never been lied to.",Couple Leisure,Premium Economy,Fort Lauderdale to Portland,March 2024,no,    i had a bad experience on my return trip from ft lauderdale to portland the weather at fll was rainy but not terrible planes were departing and arriving after pulling back from the gate we sat motionless for 15 minutes or so the pilot came on to tell us we had a shortage of fuel and this was due to the weather and its impact to availability of fuel we sat for another 3045 minutes during this time the pilot said due to the fuel shortage we would stop in kansas city on our way to seattle after about an hour on the ground in fll he came on again to apologize for the paperwork being very slow some corrections that needed to be made to the new flight plans the delays caused us to be 4 hours late in arriving in seattle heres the problem with alaska  1 they lied to us they dont prioritize honesty with their customers the fuel shortage scenario he tried to explain was weak at best it was raining  not enough fuel alaska sent me an email apologizing for the stop in kc but said it was unavoidable due to stronger than expected headwinds what really happened lot of us lost time and  due to this the official determination was wind so no reimbursements for hotels or added costs to rebook 2 they had a service failure followed by inability to make a service recovery they were not prepared to handle the onslaught of people who needed help a desk was there we were not told where we had to find it 4 agents were there they needed 10 to quickly deal with the problems seattle is their headquarters they had 6 hours to prepare i use this airline sparingly and will continue to do so i have 18mm miles on delta im with them because they dont let stuff like this happen they are professional honest with their customers and ive never been lied to,bad experience return trip ft lauderdale portland weather fll rainy terrible planes departing arriving pulling back gate sat motionless 15 minutes pilot came tell us shortage fuel due weather impact availability fuel sat another 3045 minutes time pilot said due fuel shortage would stop kansas city way seattle hour ground fll came apologize paperwork slow corrections needed made new flight plans delays caused us 4 hours late arriving seattle heres problem alaska 1 lied us dont prioritize honesty customers fuel shortage scenario tried explain weak best raining enough fuel alaska sent email apologizing stop kc said unavoidable due stronger expected headwinds really happened lot us lost time due official determination wind reimbursements hotels added costs rebook 2 service failure followed inability make service recovery prepared handle onslaught people needed help desk told find 4 agents needed 10 quickly deal problems seattle headquarters 6 hours prepare use airline sparingly continue 18mm miles delta im dont let stuff like happen professional honest customers ive never lied,NEG
✅ Trip Verified |  Literally the only airline that won't let you in their lounge if you have a business class ticket. Even if you have a first class ticket you have to pay extra. Ridiculous. I will be avoiding Alaska Airlines at all. ,Solo Leisure,Business Class,Seattle to Albuquerque,February 2024,no,    literally the only airline that wont let you in their lounge if you have a business class ticket even if you have a first class ticket you have to pay extra ridiculous i will be avoiding alaska airlines at all ,literally airline wont let lounge business class ticket even first class ticket pay extra ridiculous avoiding alaska airlines,NEG
"✅ Trip Verified | I had round trip tickets from Portland to Vegas, my flight was delayed both ways. Flight to Vegas was delayed 4 hours. My flight to Portland was delayed an hour so the crew could sleep. I understand sleep but you would have thought they could have posted the delay the night prior so the passengers could sleep as well but nope. Ridiculous!",Business,Economy Class,Portland to Las Vegas,February 2024,no,   i had round trip tickets from portland to vegas my flight was delayed both ways flight to vegas was delayed 4 hours my flight to portland was delayed an hour so the crew could sleep i understand sleep but you would have thought they could have posted the delay the night prior so the passengers could sleep as well but nope ridiculous,round trip tickets portland vegas flight delayed ways flight vegas delayed 4 hours flight portland delayed hour crew could sleep understand sleep would thought could posted delay night prior passengers could sleep well nope ridiculous,NEG
"Not Verified | On a business trip to Spokane, Washington, my return trip to Boise, Idaho was scheduled to leave at 12:30 in the afternoon. I arrived at the airport quite early and noticed they had an early flight at 9:00am. I asked the gate agent if I could switch my flight to the earlier one. The flight was light so they let me switch, at no cost, and they upgraded my economy seat to a first class seat, at no cost. This is what I call first class customer service. Good show Alaska Airlines!",Business,Economy Class,Spokane to Boise,January 2024,yes,on a business trip to spokane washington my return trip to boise idaho was scheduled to leave at 1230 in the afternoon i arrived at the airport quite early and noticed they had an early flight at 900am i asked the gate agent if i could switch my flight to the earlier one the flight was light so they let me switch at no cost and they upgraded my economy seat to a first class seat at no cost this is what i call first class customer service good show alaska airlines,business trip spokane washington return trip boise idaho scheduled leave 1230 afternoon arrived airport quite early noticed early flight 900am asked gate agent could switch flight earlier one flight light let switch cost upgraded economy seat first class seat cost call first class customer service good show alaska airlines,POS
"Not Verified | Poor customer service and deceiving practices I recently had an extremely disappointing experience with Alaska Airlines' phone customer service. The representatives seemed uninterested in assisting, frequently hanging up the call or leaving me on indefinite hold. This neglect is unacceptable, particularly when travelers are seeking crucial information. Furthermore, there were misleading communications about flight delays. I was informed that my flight couldn't depart due to weather issues, yet there were no apparent weather problems. It's troubling to suspect that this may be a tactic to mask the mechanical issues with their older aircraft fleet. The apparent strategy of avoiding compensation by falsely attributing delays to weather is deceptive and unacceptable. Customers deserve honesty and transparency, especially when it concerns their travel plans. I strongly advise travelers to reconsider flying with Alaska Airlines. Their lack of responsible customer service and questionable operational practices warrant scrutiny. In summary, my experience with Alaska Airlines was deeply unsatisfactory, marked by poor communication and suspect practices. I urge potential passengers to be cautious and consider other airlines for their travel needs.",Couple Leisure,Economy Class,Pasco to Las Vegas via Seattle,December 2023,no,poor customer service and deceiving practices i recently had an extremely disappointing experience with alaska airlines phone customer service the representatives seemed uninterested in assisting frequently hanging up the call or leaving me on indefinite hold this neglect is unacceptable particularly when travelers are seeking crucial information furthermore there were misleading communications about flight delays i was informed that my flight couldnt depart due to weather issues yet there were no apparent weather problems its troubling to suspect that this may be a tactic to mask the mechanical issues with their older aircraft fleet the apparent strategy of avoiding compensation by falsely attributing delays to weather is deceptive and unacceptable customers deserve honesty and transparency especially when it concerns their travel plans i strongly advise travelers to reconsider flying with alaska airlines their lack of responsible customer service and questionable operational practices warrant scrutiny in summary my experience with alaska airlines was deeply unsatisfactory marked by poor communication and suspect practices i urge potential passengers to be cautious and consider other airlines for their travel needs,poor customer service deceiving practices recently extremely disappointing experience alaska airlines phone customer service representatives seemed uninterested assisting frequently hanging call leaving indefinite hold neglect unacceptable particularly travelers seeking crucial information furthermore misleading communications flight delays informed flight couldnt depart due weather issues yet apparent weather problems troubling suspect may tactic mask mechanical issues older aircraft fleet apparent strategy avoiding compensation falsely attributing delays weather deceptive unacceptable customers deserve honesty transparency especially concerns travel plans strongly advise travelers reconsider flying alaska airlines lack responsible customer service questionable operational practices warrant scrutiny summary experience alaska airlines deeply unsatisfactory marked poor communication suspect practices urge potential passengers cautious consider airlines travel needs,NEG
Not Verified | First time flying Alaska such a excellent experience! Everything was just fabulous. Happy to visit Oregon for the first time to celebrate my birthday 11/26.,Solo Leisure,Economy Class,Miami to Portland,November 2023,yesClose,first time flying alaska such a excellent experience everything was just fabulous happy to visit oregon for the first time to celebrate my birthday 1126,first time flying alaska excellent experience everything fabulous happy visit oregon first time celebrate birthday 1126,POS
"Not Verified |  Attempted to send my dog to Nashville, Alaska has canceled the flight twice, now they say I will need to spend another $200 on vet because the health certificate is only valid for 10 days. I will unfortunately be required to dyebib small claims to recover all of these vet costs that were required for the flights that were canceled. Do not rely on these idiots. The lady behind the counter just sat there grinning at me and refusing to speak to me. Messed up staff. Messed up airline. Avoid.",Family Leisure,Economy Class,Seattle to Nashville,November 2023,no,attempted to send my dog to nashville alaska has canceled the flight twice now they say i will need to spend another 200 on vet because the health certificate is only valid for 10 days i will unfortunately be required to dyebib small claims to recover all of these vet costs that were required for the flights that were canceled do not rely on these idiots the lady behind the counter just sat there grinning at me and refusing to speak to me messed up staff messed up airline avoid,attempted send dog nashville alaska canceled flight twice say need spend another 200 vet health certificate valid 10 days unfortunately required dyebib small claims recover vet costs required flights canceled rely idiots lady behind counter sat grinning refusing speak messed staff messed airline avoid,NEG
✅ Trip Verified |   Alaska Airlines has shown up for us in so many different ways on so many occasions that I felt I really just had to share how grateful I am to have such a quality airline up here. Thank you to the agents who obviously care so much.,Family Leisure,Economy Class,Portland to Anchorage,November 2023,yes,     alaska airlines has shown up for us in so many different ways on so many occasions that i felt i really just had to share how grateful i am to have such a quality airline up here thank you to the agents who obviously care so much,alaska airlines shown us many different ways many occasions felt really share grateful quality airline thank agents obviously care much,POS
"✅ Trip Verified | I recently flew with Alaska Airlines from Seattle to San Francisco and was dismayed by a 3-hour delay. Not only did this disruption cause significant inconvenience, but the communication from the airline was also sorely lacking, leaving passengers confused and frustrated. As a result of this experience, I'll try avoiding my future flights bookings from Alaska Airlines. If you want to have a reliable flight then I would recommend avoiding Alaska Airlines.",Couple Leisure,Economy Class,Seattle to San Francisco,November 2023,no,   i recently flew with alaska airlines from seattle to san francisco and was dismayed by a 3hour delay not only did this disruption cause significant inconvenience but the communication from the airline was also sorely lacking leaving passengers confused and frustrated as a result of this experience ill try avoiding my future flights bookings from alaska airlines if you want to have a reliable flight then i would recommend avoiding alaska airlines,recently flew alaska airlines seattle san francisco dismayed 3hour delay disruption cause significant inconvenience communication airline also sorely lacking leaving passengers confused frustrated result experience ill try avoiding future flights bookings alaska airlines want reliable flight would recommend avoiding alaska airlines,NEG
