Reviews,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,clean_reviews,clean_reviews2,sentiment
✅ Trip Verified |  I’ve been waiting for 4 hours and they wouldn’t let me on my flight. Now I have to wait and be rerouted. Adding 5 hours to my time. Choose someone else.,Business,Economy Class,Denver to Seattle,April 2024,no,    ive been waiting for 4 hours and they wouldnt let me on my flight now i have to wait and be rerouted adding 5 hours to my time choose someone else,ive waiting 4 hours wouldnt let flight wait rerouted adding 5 hours time choose someone else,NEG
"✅ Trip Verified |  My father and I were scheduled for a flight out of Indianapolis to Atlanta, April 18, 2024, boarding 12:25pm B20, and sat for 2 hours waiting to hear our flight over the intercom but the flight was never announced to have changed to B21. We didn’t hear our names being called until 1:15pm but never heard that our flight had been changed to B21. We quickly got up out of our seats that were facing B20 and went up to the women at the counter and asked why our names were being called and they said we were too late just seconds after they had just called our names. Now I know they were being less than honest because the young lady hearing us out was also confused as to why our tickets read B20 when in fact it was B21. I never heard them make any changes to our flight, the flight was still there, and they had just called our names. I remember hearing countless updates for Tampa and Fort Meyers but never once did I hear Atlanta was being changed to B21. Subsequently missing our flight and losing out on an important trip to Atlanta. They changed our flight to later time but this doesn’t fix their mistake that will cost me time and money.",Business,Economy Class,Indianapolis to Atlanta,April 2024,no,    my father and i were scheduled for a flight out of indianapolis to atlanta april 18 2024 boarding 1225pm b20 and sat for 2 hours waiting to hear our flight over the intercom but the flight was never announced to have changed to b21 we didnt hear our names being called until 115pm but never heard that our flight had been changed to b21 we quickly got up out of our seats that were facing b20 and went up to the women at the counter and asked why our names were being called and they said we were too late just seconds after they had just called our names now i know they were being less than honest because the young lady hearing us out was also confused as to why our tickets read b20 when in fact it was b21 i never heard them make any changes to our flight the flight was still there and they had just called our names i remember hearing countless updates for tampa and fort meyers but never once did i hear atlanta was being changed to b21 subsequently missing our flight and losing out on an important trip to atlanta they changed our flight to later time but this doesnt fix their mistake that will cost me time and money,father scheduled flight indianapolis atlanta april 18 2024 boarding 1225pm b20 sat 2 hours waiting hear flight intercom flight never announced changed b21 didnt hear names called 115pm never heard flight changed b21 quickly got seats facing b20 went women counter asked names called said late seconds called names know less honest young lady hearing us also confused tickets read b20 fact b21 never heard make changes flight flight still called names remember hearing countless updates tampa fort meyers never hear atlanta changed b21 subsequently missing flight losing important trip atlanta changed flight later time doesnt fix mistake cost time money,NEG
"Not Verified |   Our flight attendants name was Sarah she was good, but the other woman was not Miss congeniality. She was rude and short with the people not in her area. I’m sorry but there is a better way to convey your words. She told a woman who was having a problem walking to the bathroom from the first seat and wanted her hand that she wasn’t allowed to get up. You could tell that when people asked for something and they were not in her section she got perturbed.",Couple Leisure,Economy Class,Orlando to Buffalo,April 2024,yes,our flight attendants name was sarah she was good but the other woman was not miss congeniality she was rude and short with the people not in her area im sorry but there is a better way to convey your words she told a woman who was having a problem walking to the bathroom from the first seat and wanted her hand that she wasnt allowed to get up you could tell that when people asked for something and they were not in her section she got perturbed,flight attendants name sarah good woman miss congeniality rude short people area im sorry better way convey words told woman problem walking bathroom first seat wanted hand wasnt allowed get could tell people asked something section got perturbed,NEG
"Not Verified |   Southwest needs to rewrite their seating policy, unbelievable to pay $250 one way and be stuck on opposite sides of the aircraft from your wife on her first flight ever. Never again Southwest!",Couple Leisure,Economy Class,Baltimore to Orlando,January 2024,no,southwest needs to rewrite their seating policy unbelievable to pay 250 one way and be stuck on opposite sides of the aircraft from your wife on her first flight ever never again southwest,southwest needs rewrite seating policy unbelievable pay 250 one way stuck opposite sides aircraft wife first flight ever never southwest,NEG
"✅ Trip Verified |  I don’t travel very much, but when I do I expect to have good customer service. The staff is the very worst, I am very dissatisfied and disappointed. The front desk staff are not friendly at all. They act like they are being inconvenienced and rude as hell. They don’t smile and have an attitude when I ask for help. I was very surprised how terrible the service is. I expected better from Southwest Airlines. Why are people so angry? ",Solo Leisure,Economy Class,Dallas to Fort Lauderdale,April 2024,no,    i dont travel very much but when i do i expect to have good customer service the staff is the very worst i am very dissatisfied and disappointed the front desk staff are not friendly at all they act like they are being inconvenienced and rude as hell they dont smile and have an attitude when i ask for help i was very surprised how terrible the service is i expected better from southwest airlines why are people so angry ,dont travel much expect good customer service staff worst dissatisfied disappointed front desk staff friendly act like inconvenienced rude hell dont smile attitude ask help surprised terrible service expected better southwest airlines people angry,NEG
"Not Verified |   On 3/19/2024, I encountered an unexpected issue while attempting to check in for a Southwest flight at the airport. Despite having booked my flight a month in advance on 02/12/2024 for a family funeral trip scheduled from 03/19 to 3/25, I was informed by a Southwest agent that I needed a consent form from my sisters to travel with my minor niece and nephew. This requirement was unfamiliar to me, as I had previously traveled with the minors on Southwest Airlines without encountering this request. The interaction with the agent and their supervisor was disheartening, as they exhibited rudeness and disrespect towards me. Despite my explanations and requests, they did not show a willingness to review my travel history with the minors or consider the circumstances of my family's bereavement. Additionally, I was given conflicting information about the acceptance of a notarized letter from the minors' guardian, causing further confusion and inconvenience. I respectfully request a review of this incident, as it has caused distress during an already challenging time. I hope that this feedback can contribute to improvements in customer service and clarity of travel requirements for passengers, particularly in sensitive situations such as family emergencies. I had a difficult experience with Southwest Airlines, as I was unable to board the flight and encountered unhelpful customer service. Despite this, I received a refund. I then booked with American Airlines and had a positive experience. I will be choosing American Airlines for future travel.",Family Leisure,Economy Class,Ft Lauderdale to Montego bay,March 2024,no,on 3192024 i encountered an unexpected issue while attempting to check in for a southwest flight at the airport despite having booked my flight a month in advance on 02122024 for a family funeral trip scheduled from 0319 to 325 i was informed by a southwest agent that i needed a consent form from my sisters to travel with my minor niece and nephew this requirement was unfamiliar to me as i had previously traveled with the minors on southwest airlines without encountering this request the interaction with the agent and their supervisor was disheartening as they exhibited rudeness and disrespect towards me despite my explanations and requests they did not show a willingness to review my travel history with the minors or consider the circumstances of my familys bereavement additionally i was given conflicting information about the acceptance of a notarized letter from the minors guardian causing further confusion and inconvenience i respectfully request a review of this incident as it has caused distress during an already challenging time i hope that this feedback can contribute to improvements in customer service and clarity of travel requirements for passengers particularly in sensitive situations such as family emergencies i had a difficult experience with southwest airlines as i was unable to board the flight and encountered unhelpful customer service despite this i received a refund i then booked with american airlines and had a positive experience i will be choosing american airlines for future travel,3192024 encountered unexpected issue attempting check southwest flight airport despite booked flight month advance 02122024 family funeral trip scheduled 0319 325 informed southwest agent needed consent form sisters travel minor niece nephew requirement unfamiliar previously traveled minors southwest airlines without encountering request interaction agent supervisor disheartening exhibited rudeness disrespect towards despite explanations requests show willingness review travel history minors consider circumstances familys bereavement additionally given conflicting information acceptance notarized letter minors guardian causing confusion inconvenience respectfully request review incident caused distress already challenging time hope feedback contribute improvements customer service clarity travel requirements passengers particularly sensitive situations family emergencies difficult experience southwest airlines unable board flight encountered unhelpful customer service despite received refund booked american airlines positive experience choosing american airlines future travel,NEG
"Not Verified |  We had to rebook flights the day before flying due to a massive snowstorm. Our direct flight was changed to a connecting flight, but the connecting city was closer to our point of origin, so we just hopped in the rental car and drove. Little did we know that hidden in the fine print is a ""no show"" policy. If you don't cancel your flight and just don't show up, they cancel all flights on your itinerary, including your return flight. It doesn't matter that you already purchased your seats. They will take your money or points and leave you without a flight. What's more, if you purchase the highest price points tickets, they will refund your points, but if you purchase cheaper seats, they take your points. This feels like a poor penalty to me. We have been loyal Southwest customers for 20 years, including the credit card. No more. We are taking our business elsewhere. Our 20 years of loyalty apparently means nothing to this heinous company.",Family Leisure,Economy Class,Portland to Denver,March 2024,yes,we had to rebook flights the day before flying due to a massive snowstorm our direct flight was changed to a connecting flight but the connecting city was closer to our point of origin so we just hopped in the rental car and drove little did we know that hidden in the fine print is a no show policy if you dont cancel your flight and just dont show up they cancel all flights on your itinerary including your return flight it doesnt matter that you already purchased your seats they will take your money or points and leave you without a flight whats more if you purchase the highest price points tickets they will refund your points but if you purchase cheaper seats they take your points this feels like a poor penalty to me we have been loyal southwest customers for 20 years including the credit card no more we are taking our business elsewhere our 20 years of loyalty apparently means nothing to this heinous company,rebook flights day flying due massive snowstorm direct flight changed connecting flight connecting city closer point origin hopped rental car drove little know hidden fine print show policy dont cancel flight dont show cancel flights itinerary including return flight doesnt matter already purchased seats take money points leave without flight whats purchase highest price points tickets refund points purchase cheaper seats take points feels like poor penalty loyal southwest customers 20 years including credit card taking business elsewhere 20 years loyalty apparently means nothing heinous company,NEG
"✅ Trip Verified |  I’ve flown bi-weekly for a year for work. I came back from a work conference this week with a bag one pound over the limit. I was told to pay $100 or to get a trash bag to check my items as a “separate package”. When I asked for a supervisor to clarify (since southwest allows for 2 free checked bags), the supervisor tried to guilt me by saying “you need to think of our staff who is on their hands and knees loading these bags. They don’t need to be moving overweight bags. Wouldn’t you agree? It’s unfair for a passenger to ask that of them?” Ma’am- it was one pound and I know your policy allows for heavier bags for your elite members. Do you pay the employee the $100 you asked me to pay if they have to “get on their hands and knees” to lift a bag one pound over? I’ve seen how these bags are handled. Southwest broke a family heirloom on my last flight with them because of how rough they are. Don’t try to make me feel bad because I was told to put my items in a trash bag and hope they arrived. I’ll never fly southwest again. I appreciate the supervisor’s ability to argue- but don’t act like it’s because the airline cares about their staff. It’s a way to make money. Google how much the airline industry makes in overweight bag fees, then tell me they do it to protect their staff.",Business,Economy Class,Columbus to Chicago,March 2024,no,    ive flown biweekly for a year for work i came back from a work conference this week with a bag one pound over the limit i was told to pay 100 or to get a trash bag to check my items as a separate package when i asked for a supervisor to clarify since southwest allows for 2 free checked bags the supervisor tried to guilt me by saying you need to think of our staff who is on their hands and knees loading these bags they dont need to be moving overweight bags wouldnt you agree its unfair for a passenger to ask that of them maam it was one pound and i know your policy allows for heavier bags for your elite members do you pay the employee the 100 you asked me to pay if they have to get on their hands and knees to lift a bag one pound over ive seen how these bags are handled southwest broke a family heirloom on my last flight with them because of how rough they are dont try to make me feel bad because i was told to put my items in a trash bag and hope they arrived ill never fly southwest again i appreciate the supervisors ability to argue but dont act like its because the airline cares about their staff its a way to make money google how much the airline industry makes in overweight bag fees then tell me they do it to protect their staff,ive flown biweekly year work came back work conference week bag one pound limit told pay 100 get trash bag check items separate package asked supervisor clarify since southwest allows 2 free checked bags supervisor tried guilt saying need think staff hands knees loading bags dont need moving overweight bags wouldnt agree unfair passenger ask maam one pound know policy allows heavier bags elite members pay employee 100 asked pay get hands knees lift bag one pound ive seen bags handled southwest broke family heirloom last flight rough dont try make feel bad told put items trash bag hope arrived ill never fly southwest appreciate supervisors ability argue dont act like airline cares staff way make money google much airline industry makes overweight bag fees tell protect staff,NEU
"Not Verified |   Worst airline in the USA. Long time since I flew Southwest and last in a very every long time to come. Flights delays and cancellations are common bread now a days. Consumer satisfaction and priority no longer exists. This airline has stopped being an on time airline. Last time flew Southwest was 2021. Next time be sure it will be at least 2031 if ever. Southwest you lost a customer, will make sure none of my family or friends fly Southwest",Business,Economy Class,Miami to Dallas,March 2024,no,worst airline in the usa long time since i flew southwest and last in a very every long time to come flights delays and cancellations are common bread now a days consumer satisfaction and priority no longer exists this airline has stopped being an on time airline last time flew southwest was 2021 next time be sure it will be at least 2031 if ever southwest you lost a customer will make sure none of my family or friends fly southwest,worst airline usa long time since flew southwest last every long time come flights delays cancellations common bread days consumer satisfaction priority longer exists airline stopped time airline last time flew southwest 2021 next time sure least 2031 ever southwest lost customer make sure none family friends fly southwest,NEG
"Not Verified |   Horrible experience. Our original flight time was 11:30am. They delayed it to 2:00pm. We were fine until we arrived at the airport. They delayed our flight to 7:28pm! That's about 8 hours after we were supposed to leave. The weather wasn't even bad. It was beautiful outside and there was no storms at all. The delay was due to ""Air traffic control"" even though no other airline such as Delta or United had delayed or canceled flights. After waiting an hour at the airport, they cancelled our flight and would not give us a refund at first. We had a week long trip ahead of us that we couldn't go on because of Southwest. We also saw families of 8 going to Disney World Orlando and you can't get a refund from that either. Now we are trying to cancel everything we had planned for the trip. We lost a lot of money on this. I wish I could give 0 stars.",Family Leisure,Economy Class,Jackson to Orlando,March 2024,no,horrible experience our original flight time was 1130am they delayed it to 200pm we were fine until we arrived at the airport they delayed our flight to 728pm thats about 8 hours after we were supposed to leave the weather wasnt even bad it was beautiful outside and there was no storms at all the delay was due to air traffic control even though no other airline such as delta or united had delayed or canceled flights after waiting an hour at the airport they cancelled our flight and would not give us a refund at first we had a week long trip ahead of us that we couldnt go on because of southwest we also saw families of 8 going to disney world orlando and you cant get a refund from that either now we are trying to cancel everything we had planned for the trip we lost a lot of money on this i wish i could give 0 stars,horrible experience original flight time 1130am delayed 200pm fine arrived airport delayed flight 728pm thats 8 hours supposed leave weather wasnt even bad beautiful outside storms delay due air traffic control even though airline delta united delayed canceled flights waiting hour airport cancelled flight would give us refund first week long trip ahead us couldnt go southwest also saw families 8 going disney world orlando cant get refund either trying cancel everything planned trip lost lot money wish could give 0 stars,NEG
